# this file is used by the searching automatic machine and to calculate
# the Delta-z and g(z) for the MgII search
#file      redshift      Instrument      Grating      Lower_z      Upper_z
011211.fits	   2.142	 FORS		 V300	      0.0	   2.2
#021004_uves.fits  2.323	    UVES	 uvres	      0.0	   99.
030226.fits      1.986      FORS      V300      0.0      99.
030323.fits      3.372      FORS      V1200      0.0      1.5
030429.fits      2.656      FORS      V300      0.0      1.7
050319.fits      3.24      ALFOSC      gr4      0.0      1.8
050401.fits      2.90      FORS      V300      0.0      1.8
#050408.fits      1.236      GMOS      R831      0.0      99.   #out of range
#050730_uves.fits  3.9687      UVES	 uvres	      0.0	   99.
050802.fits      1.71      ALFOSC      gr4      0.0      1.8
#050820_uves.fits  2.614      UVES	 uvres	      0.0	   99.
#050824.fits      0.8278      FORS      V300      0.0      1.8  #host
050908.fits      3.339      GMOS      R400      0.0      1.75
#050922C_fors.fits 2.1996      FORS      V300      0.0      1.8 
#050922C.fits	 2.1996	    UVES      uvres	0.0	 99.		 
060115.fits      3.53      FORS      V300      0.0      1.8
060206.fits      4.05      ALFOSC      gr4      0.5      1.9
060210.fits      3.912      GMOS      R400      0.0      99.
#060418.fits      1.489      GMOS      R400      0.0      1.8
#060418_uves.fits      1.489      UVES      uvres      0.0      1.8
060502.fits      1.515      GMOS      R400      0.0      99.
060510B.fits      4.9      GMOS      R400      0.0      2.22
060512.fits	  2.1	   FORS	     V300      0.0	99.
060526.fits      3.221      FORS      V300      0.0      1.8
060707.fits      3.425      FORS      V300      0.0      1.8
#060607A_uves.fits  3.047      UVES	 uvres	      0.0	   99.
060708A.fits      1.92      FORS      V300      0.0      99.
060714.fits      2.71      FORS      V300      0.0      99.
060729.fits      0.54      GMOS      B600      0.25      99.
060904B.fits	 0.703	   FORS	     V300      0.0	 99.
060906.fits      3.685      FORS      V300      0.0      1.8
060908.fits      2.43      GMOS      R400      0.0      1.32
060926.fits      3.20      FORS      V300      0.0      99.
060927.fits      5.47      FORS      V300      0.0      99.
061007.fits      1.261      FORS      V300      0.0      1.8
061110A.fits      0.7578      FORS      V300      0.0      1.5
061110B.fits      3.437      FORS      V300      0.0      2.0
070110.fits      2.352      FORS      V300      0.0      2.1
#070125.fits      1.547      GMOS      R400      0.0      2.0
#070125fors.fits      1.547      FORS      V300      0.0      2.0
070306.fits      1.4965      FORS      V300      0.0      99.
#070318.fits      0.836      GMOS      R400      0.0      2.   #not covered
070411.fits      2.954      FORS      V1200      0.0      99.
070506.fits      2.31      FORS      V300      0.0      1.7
070529.fits      2.498      GMOS      B600      0.0      99.
